Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1989,5.7,5.8,5.9,5.6,5.9,5.8,5.7,5.5,5.7,5.8,5.7,5.8
1990,5.9,6.3,6.2,7.7,8.2,8.2,8.2,8.9,9.2,9.2,9.2,9.2
1991,8.6,8.2,8.3,8.0,7.5,7.7,7.5,7.5,6.9,6.5,6.5,6.5
1992,6.2,6.3,6.2,5.2,5.1,4.6,4.5,3.7,3.7,3.5,3.3,3.2
1993,3.0,3.1,3.2,2.6,2.3,2.2,2.3,2.6,2.7,2.4,2.1,2.3
1994,2.6,2.4,2.2,2.4,2.4,2.3,2.1,2.2,1.9,1.8,2.1,2.2
1995,2.4,2.3,2.4,2.3,2.6,2.7,2.8,2.7,3.0,3.0,2.9,3.1
1996,2.9,3.0,3.0,2.8,2.8,2.8,2.7,2.7,2.7,3.0,3.1,2.8
1997,2.6,2.4,2.2,2.1,2.1,2.1,2.4,2.3,2.2,2.2,2.1,1.9
1998,1.8,1.8,1.9,2.1,2.2,1.9,1.7,1.6,1.7,1.6,1.7,1.9
1999,2.0,1.9,2.1,2.0,1.7,1.8,1.7,1.6,1.6,1.5,1.5,1.5
2000,1.2,1.2,1.0,0.9,1.0,1.2,1.2,1.0,1.3,1.4,1.5,1.2
2001,1.2,1.2,1.3,1.5,1.9,1.9,1.7,2.1,1.7,1.6,1.2,1.4
2002,1.8,1.7,1.7,1.6,1.2,1.1,1.4,1.3,1.2,1.5,1.6,1.7
2003,1.4,1.6,1.6,1.5,1.3,1.2,1.3,1.4,1.3,1.3,1.3,1.3
2004,1.5,1.4,1.2,1.1,1.4,1.5,1.4,1.4,1.2,1.3,1.5,1.8
2005,1.7,1.7,2.0,1.9,1.9,2.0,2.3,2.4,2.5,2.4,2.2,2.1
2006,2.2,2.2,2.0,2.2,2.4,2.6,2.5,2.6,2.5,2.5,2.8,2.9
2007,2.7,2.7,2.9,2.7,2.5,2.5,2.0,2.0,2.0,2.3,2.2,2.3
2008,2.4,2.6,2.6,3.0,3.3,3.7,4.2,4.4,4.8,4.2,3.8,3.0
2009,2.9,3.1,2.8,2.3,2.1,1.7,1.6,1.4,1.0,1.2,1.5,2.1
2010,2.6,2.1,2.4,2.7,2.5,2.4,2.3,2.4,2.4,2.5,2.6,3.1
2011,3.4,3.7,3.5,3.8,3.8,3.6,3.8,3.9,4.5,4.3,4.1,3.7
2012,3.2,3.1,3.1,2.8,2.5,2.3,2.4,2.3,2.1,2.4,2.4,2.4
2013,2.4,2.5,2.5,2.2,2.4,2.6,2.5,2.4,2.4,2.0,1.9,1.9
2014,1.8,1.6,1.5,1.7,1.5,1.8,1.6,1.5,1.3,1.3,1.1,0.7
2015,0.5,0.4,0.3,0.3,0.4,0.3,0.5,0.4,0.2,0.2,0.4,0.5
2016,0.6,0.6,0.8,0.7,0.7,0.8,0.9,1.0,1.3,1.3,1.5,1.8
2017,1.9,2.3,2.3,2.6,2.7,2.6,2.6,2.7,2.8,2.8,2.8,2.7
2018,2.7,2.5,2.3,2.2,2.3,2.3,2.3,2.4,2.2,2.2,2.2,2.0
2019,1.8,1.8,1.8,2.0,1.9,1.9,2.0,1.7,1.7,1.5,1.5,1.4
2020,1.8,1.7,1.5,0.9,0.7,0.8,1.1,0.5,0.7,0.9,0.6,0.8
2021,0.9,0.7,1.0,1.6,2.1,2.4,2.1,3.0,2.9,3.8,4.6,4.8
2022,4.9,5.5,6.2,7.8,7.9,8.2,8.8,8.6,8.8,9.6,9.3,9.2
2023,8.8,9.2,8.9,7.8,7.9,7.3,6.4,6.3,6.3,4.7,4.2,4.2
2024,4.2,3.8,3.8,3.0,2.8,2.8,3.1,3.1,2.6,3.2,3.5,3.5
