Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1971,,3.8,3.9,4.0,4.1,4.1,4.2,4.2,4.3,4.4,4.4,4.5
1972,4.5,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.1
1973,4.0,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4
1974,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.8
1975,3.9,4.0,4.1,4.2,4.3,4.5,4.6,4.7,4.8,4.9,5.0,5.1
1976,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5
1977,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.7
1978,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.3
1979,5.3,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.5,5.6
1980,5.7,5.8,6.0,6.1,6.3,6.5,6.8,7.1,7.4,7.7,8.0,8.3
1981,8.6,8.9,9.1,9.4,9.6,9.7,9.8,9.9,10.0,10.1,10.2,10.3
1982,10.4,10.4,10.5,10.5,10.6,10.6,10.7,10.8,10.9,11.0,11.1,11.2
1983,11.2,11.3,11.3,11.3,11.4,11.5,11.5,11.5,11.6,11.6,11.7,11.7
1984,11.8,11.8,11.9,11.9,11.9,11.8,11.8,11.7,11.7,11.7,11.6,11.6
1985,11.5,11.5,11.4,11.4,11.4,11.3,11.3,11.3,11.3,11.3,11.3,11.3
1986,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.4,11.3,11.3,11.3,11.2
1987,11.2,11.1,11.0,10.9,10.7,10.6,10.4,10.2,10.0,9.9,9.7,9.5
1988,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.0,7.9
1989,7.7,7.6,7.4,7.3,7.2,7.2,7.1,7.1,7.1,7.0,7.0,7.0
1990,6.9,6.9,6.9,6.9,6.9,6.9,7.0,7.1,7.2,7.3,7.5,7.6
1991,7.8,8.0,8.2,8.5,8.7,8.8,9.0,9.2,9.3,9.4,9.5,9.5
1992,9.6,9.7,9.8,9.8,9.8,9.9,9.9,9.9,10.1,10.2,10.4,10.5
1993,10.7,10.6,10.6,10.5,10.4,10.4,10.3,10.2,10.3,10.2,10.3,10.3
1994,10.1,9.9,9.8,9.7,9.7,9.6,9.5,9.4,9.3,9.1,9.0,8.9
1995,8.9,8.9,8.8,8.8,8.7,8.7,8.6,8.6,8.6,8.6,8.3,8.4
1996,8.3,8.2,8.3,8.3,8.3,8.2,8.1,8.1,8.1,8.0,7.8,7.7
1997,7.5,7.3,7.2,7.2,7.2,7.3,7.1,6.8,6.7,6.6,6.5,6.4
1998,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.1,6.2
1999,6.2,6.2,6.2,6.1,6.0,6.0,5.9,5.9,5.8,5.8,5.8,5.9
2000,5.8,5.8,5.7,5.6,5.5,5.3,5.3,5.3,5.4,5.3,5.2,5.2
2001,5.2,5.1,5.0,4.9,5.0,5.0,5.1,5.1,5.1,5.1,5.2,5.2
2002,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.2,5.2,5.1,5.0
2003,5.1,5.2,5.1,5.0,4.9,5.1,5.1,5.0,5.0,4.9,4.9,4.8
2004,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7
2005,4.8,4.7,4.7,4.8,4.8,4.7,4.7,4.7,4.9,5.1,5.1,5.1
2006,5.2,5.2,5.3,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.5,5.5
2007,5.5,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.2,5.2
2008,5.2,5.2,5.3,5.2,5.4,5.5,5.7,5.9,6.0,6.2,6.4,6.5
2009,6.7,7.1,7.3,7.6,7.8,7.9,7.9,7.8,7.9,7.8,7.8,7.7
2010,7.9,8.0,8.0,7.9,7.9,7.8,7.8,7.8,7.9,7.9,7.9,7.9
2011,7.8,7.8,7.7,7.8,7.9,8.0,8.2,8.3,8.4,8.5,8.4,8.3
2012,8.3,8.2,8.2,8.1,8.0,8.0,7.9,7.8,7.8,7.8,7.8,7.8
2013,8.0,7.8,7.8,7.7,7.7,7.7,7.7,7.6,7.4,7.2,7.2,7.1
2014,6.9,6.7,6.6,6.4,6.3,6.1,6.0,6.0,5.9,5.9,5.7,5.6
2015,5.6,5.5,5.5,5.6,5.6,5.5,5.4,5.3,5.2,5.1,5.1,5.1
2016,5.1,5.1,5.0,4.9,4.9,4.9,5.0,4.8,4.8,4.8,4.7,4.7
2017,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.2,4.3,4.4,4.3
2018,4.2,4.2,4.2,4.2,4.0,4.0,4.0,4.1,4.1,4.0,4.0,3.9
2019,4.0,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.9
2020,3.9,4.1,4.1,4.1,4.1,4.4,4.6,5.0,5.2,5.2,5.3,5.2
2021,5.0,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.1
2022,3.9,3.8,3.8,3.7,3.8,3.6,3.6,3.7,3.8,3.9,3.9,3.9
2023,4.0,4.0,3.9,4.0,4.2,4.3,4.3,4.1,4.0,4.0,3.9,4.1
2024,4.2,4.3,4.4,4.4,4.2,4.2,4.1,4.3,4.3,4.4,,
