"Title","LFS: ILO redundancy rate: UK: All: SA"
"CDID","BEIR"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","per 1,000 employees"
"Release date","18-02-2025"
"Next release","20 March 2025"
"Important notes",
"1995","8.1"
"1996","7.5"
"1997","6.9"
"1998","7.4"
"1999","7.6"
"2000","7.1"
"2001","7.4"
"2002","7.6"
"2003","6.5"
"2004","5.8"
"2005","5.7"
"2006","5.5"
"2007","5.0"
"2008","6.5"
"2009","9.3"
"2010","6.2"
"2011","5.9"
"2012","5.9"
"2013","4.9"
"2014","4.2"
"2015","4.1"
"2016","4.3"
"2017","3.8"
"2018","3.4"
"2019","3.8"
"2020","8.2"
"2021","3.9"
"2022","2.6"
"2023","3.3"
"2024","3.5"
"1995 Q2","8.2"
"1995 Q3","7.5"
"1995 Q4","7.4"
"1996 Q1","8.9"
"1996 Q2","7.2"
"1996 Q3","7.4"
"1996 Q4","6.7"
"1997 Q1","7.0"
"1997 Q2","7.5"
"1997 Q3","6.7"
"1997 Q4","6.3"
"1998 Q1","7.4"
"1998 Q2","7.3"
"1998 Q3","6.8"
"1998 Q4","7.9"
"1999 Q1","8.8"
"1999 Q2","7.7"
"1999 Q3","7.1"
"1999 Q4","6.8"
"2000 Q1","7.8"
"2000 Q2","7.5"
"2000 Q3","6.5"
"2000 Q4","6.5"
"2001 Q1","6.6"
"2001 Q2","7.0"
"2001 Q3","7.9"
"2001 Q4","8.0"
"2002 Q1","8.4"
"2002 Q2","8.0"
"2002 Q3","7.1"
"2002 Q4","7.1"
"2003 Q1","7.3"
"2003 Q2","6.4"
"2003 Q3","6.3"
"2003 Q4","5.8"
"2004 Q1","5.9"
"2004 Q2","6.0"
"2004 Q3","5.3"
"2004 Q4","5.8"
"2005 Q1","5.6"
"2005 Q2","5.2"
"2005 Q3","6.2"
"2005 Q4","5.8"
"2006 Q1","5.9"
"2006 Q2","5.4"
"2006 Q3","5.4"
"2006 Q4","5.2"
"2007 Q1","6.1"
"2007 Q2","4.6"
"2007 Q3","5.1"
"2007 Q4","4.3"
"2008 Q1","4.7"
"2008 Q2","4.8"
"2008 Q3","6.1"
"2008 Q4","10.3"
"2009 Q1","11.8"
"2009 Q2","10.6"
